polyid,fireid,cen_lon,cen_lat,acq_date_lst,area_sqkm,v_lct,f_lct,v_tree,v_herb,v_bare,v_regnum
1,1,-88.1281317078257,31.2148010103548,2011-12-31,1.11737584787178,8,0.815789473684211,54.9736842105263,34.8421052631579,10.8157894736842,1
2,1,-88.1177682435872,31.2159989925399,2011-12-31,1.11736661636925,8,0.972222222222222,39.5555555555556,49.8611111111111,11.1944444444444,1
3,3,-88.3261830389841,31.5909974795488,2011-12-31,1.12012083683705,8,0.702702702702703,47.2432432432432,42.1351351351351,11.1891891891892,1
4,3,-88.3366169115134,31.5898025233937,2011-12-31,1.12013026629353,8,1,29.6486486486486,58.1891891891892,12.7567567567568,1
5,5,-91.4062,31.4678,2011-12-31,0.999175428777695,4,1,66.1,23.0666666666667,11.3333333333333,1
6,8,-90.3415769834936,30.9521120882073,2012-01-01,1.27005310216236,8,1,41.3863636363636,52.4318181818182,6.88636363636364,1
7,8,-90.3404233036624,30.9415879916911,2012-01-01,1.27009688070965,9,0.428571428571429,28.1428571428571,66.1428571428571,6.35714285714286,1
8,6,-88.0134,30.9441,2012-01-01,0.999066867742539,13,0.9,5.3,48.5,46.7666666666667,1
9,7,-88.5324,31.0142,2012-01-01,0.999081337817192,8,1,21.0285714285714,64.0285714285714,15.4571428571429,1
10,18,-91.0495481393905,30.1091705075119,2012-01-02,1.90621866846561,12,1,8.46875,69.375,22.734375,1
11,18,-91.0358318984719,30.1065453301714,2012-01-02,1.45473302172732,12,1,8.88235294117647,70.1960784313726,21.6078431372549,1
12,18,-91.0596075220064,30.1030452249875,2012-01-02,1.43419268467999,12,1,8.46808510638298,69.8297872340426,22.2340425531915,1
13,18,-91.0623663992262,30.1144237571543,2012-01-02,1.47941539125443,12,1,10.6734693877551,71.1020408163265,18.8163265306122,1
14,10,-91.0456262104157,30.1787999313322,2012-01-02,1.6191319907856,12,1,5.70175438596491,73.9649122807018,20.9824561403509,1
15,10,-91.0436709518444,30.1884850791772,2012-01-02,1.58027535785818,12,0.549019607843137,19,64.7058823529412,16.8039215686275,1
16,10,-91.0585482394645,30.1818277527392,2012-01-02,1.8740697892158,12,1,8.58461538461538,71.0615384615385,20.9692307692308,1
17,12,-90.7723784525631,30.3585315810836,2012-01-02,1.10111457566428,8,0.641025641025641,44.2051282051282,43.3589743589744,12.974358974359,1
18,12,-90.7621215890433,30.3574684211506,2012-01-02,1.10112206418514,8,0.342857142857143,53.6857142857143,36.4,10.6285714285714,1
19,13,-89.6193425776777,31.2480104986211,2012-01-02,1.33044515758038,8,1,28.9347826086957,57.0217391304348,14.5434782608696,1
20,13,-89.6097289948803,31.2429988475369,2012-01-02,1.94043399274421,8,1,28.5737704918033,58.1803278688525,13.8196721311475,1
